car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
C7,BLK 349-355 CLEMENTI AVE 2,1.3148838722797977,103.77075500850243,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
C8,BLK 335/338 CLEMENTI AVE 2,1.3166746567863563,103.76863110345576,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
C9,BLK 340/342/343/346-348 CLEMENTI AVE 5,1.317649249239499,103.77031234940915,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
DRM1,BLK 104C DEPOT ROAD,1.2805131560457597,103.81154349195451,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
DRM2,BLK 112C DEPOT ROAD,1.2812993757006332,103.80785308038976,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
DRM3,108A DEPOT ROAD,1.2808383769937828,103.80986791310744,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
DRM4,BLK 105 DEPOT ROAD,1.2808706520545836,103.81236594973795,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N
DRM5,BLOCK 110 DEPOT ROAD,1.2813318825559277,103.80947738316948,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,Y
DRS,BLK 102A/102B DEPOT ROAD,1.2804697558032994,103.81299281990017,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.15,N
DUXM,BLK 1 CANTONMENT ROAD,1.2769773813172818,103.8410540704323,BASEMENT CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.10,Y
DWST,BLK 89A DAWSON ROAD,1.2952162407141092,103.81197072774124,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,4,2.15,N
DWSV,BLK 85 DAWSON ROAD,1.2953067953956627,103.80961685626276,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N
DWVT,BLK 78A DAWSON ROAD,1.2942254278456495,103.81014450777569,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,13,2.15,N
ECM,BLK 31A EUNOS CRESCENT,1.3200299878552892,103.90162713697123,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
EC2,BLK 12-25 EUNOS CRESCENT,1.3226157282563167,103.90444212518155,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
EC3,BLK 5-8/11/4A EUNOS CRESCENT,1.3211567341184236,103.90447581531453,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
EC4,BLK 1-3/1A EUNOS CRESCENT,1.3205164562706952,103.9026924443538,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
EC5,BLK 9-10 EUNOS CRESCENT,1.322033488730182,103.90266515157057,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
EC7,BLK 842-848 SIMS AVENUE,1.3177837032191524,103.90162574678307,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.50,N
EC7T,BLK 842 TO 848 SIM AVENUE,1.3185196743293024,103.90183408598985,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
EC8,BLK 2A EUNOS MRT SIMS AVENUE,1.3192268648217824,103.90320810512728,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
EI1,BLK 1001-1085 EUNOS INDUSTRIAL ESTATE,1.3234328747450637,103.89684700195524,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
EI3,BLK 410/411/414-417 EUNOS ROAD 5,1.3188464672807614,103.89837967178805,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
EPL,BLK 1/7 EVERTON PARK,1.2771635534654588,103.83991265403958,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N
EPM,BLK 6A EVERTON ROAD,1.2761844360827435,103.83890822772904,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.15,N
FRM,BLK 808 FRENCH ROAD MSCP,1.308758633048291,103.86136466220749,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.50,N
FR2C,BLK 3/4 QUEEN'S ROAD,1.3182783907026883,103.80771256448324,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,2.40,N
FR2S,BLK 2/3/4 QUEEN'S ROAD,1.317920697225085,103.80718387313364,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
FR3M,BLK 8A EMPRESS ROAD,1.3166948314211013,103.80621058640887,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N
FR4M,BLK 6A FARRER ROAD,1.3168757266186237,103.80753449141054,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N
GBM,BLK 60A GEYLANG BAHRU,1.3227723905559787,103.86863367566639,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
GEM,BLK 118 ALJUNIED AVE 2,1.320036813606303,103.88760266728211,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,1.80,N
GEML,BLK 118 ALJUNIED AVE 2,1.319937742298491,103.8878497929122,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.00,N
GE1A,BLK 99-106/111-112 ALJUNIED CRESCENT,1.3198874888218068,103.88343778425943,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GE1B,BLK 114-117 ALJUNIED AVENUE 2,1.3212054428036488,103.88699247956042,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
GE1C,BLK 119 ALJUNIED CRESCENT,1.3197587896689376,103.88629912428111,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GE1D,BLK 1005-1012 ALJUNIED CRESCENT,1.3218540182482401,103.88916338168022,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GE1E,BLK 109-110 ALJUNIED CRESCENT,1.3197214815258396,103.88442796153257,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GE1F,BLK 107-108 ALJUNIED CRESCENT,1.3192099481045387,103.88423564310455,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GE1G,BLK 95 & 113 ALJUNIED CRESCENT,1.3209624087674128,103.88630883704505,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,1.317945421783847,103.88483940328344,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
GE3,BLK 124 TO 128 GEYLANG EAST AVE 1,1.3175009923125978,103.88736326896607,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GE5,BLK 129-134 GEYLANG EAST AVE 1/2,1.3165497802675867,103.88756528216992,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
GMLM,BLK 24 GHIM MOH LINK,1.3087283120092683,103.785820620833,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
GM1A,BLK 2A GHIM MOH ROAD,1.3126136388646843,103.78692568583948,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
GM1B,BLK 5A GHIM MOH RD,1.3129217007451546,103.78825693218896,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
GM1M,31A GHIM MOH LINK,1.3093544323655109,103.78436887624203,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
GM2,BLK 7/8/9 GHIM MOH ROAD,1.3116014028826541,103.78816007877944,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
GM2A,BLK 8A GHIM MOH RD,1.310871040730973,103.78726431710507,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N
GM3,BLK 19/20 GHIM MOH ROAD,1.3111559046467356,103.78885307897102,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
GM5,BLK 21 GHIM MOH ROAD,1.3103818529743148,103.78851083553407,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
GM6A,BLK 13A GHIM MOH RD,1.3094925337172718,103.788722863762,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO,5,2.15,N
GM6B,BLK 16A GHIM MOH ROAD,1.3096110710678959,103.78765231793031,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
GSM,BLK 2 GEYLANG SERAI,1.317206714246541,103.89834009661357,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N
GSML,BLK 2 GEYLANG SERAI,1.3170312275382157,103.89848850385381,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,2.15,N
HCM,BLK 104A HENDERSON CRESCENT,1.2890460476816035,103.82155994001779,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.10,N
HDBH,BLK 480 480 LORONG 6 TOA PAYOH,1.3322044726378632,103.84831918865638,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.10,Y
HE1,BLK 102/103/104 HENDERSON CRESCENT,1.2892221428532324,103.82235539347404,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
HE12,BLK 78/81 REDHILL LANE,1.2882100231321911,103.8186506240624,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HE14,BLK 115 BUKIT MERAH VIEW,1.2857143895971888,103.82225247982512,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HE17,BLK 93/96 HENDERSON RD,1.2864230609884169,103.82038883426803,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HE19,ALEXANDRA RD,1.290540619101063,103.82098507674468,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
HE22,BLK 105 HENDERSON RD,1.2900207732738587,103.82284807113028,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.20,N
HE24,BLK 116 BUKIT MERAH VIEW,1.2846680932595835,103.82098533323065,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HE3,BLK 116/117 BUKIT MERAH VIEW,1.2847190033878992,103.82171169354866,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HE4,BLK 121/122 & 127 BUKIT MERAH VIEW,1.2834709130566515,103.8227828558414,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HE9,BLK 118/119 BUKIT MERAH VIEW,1.2837073657315128,103.82119375672022,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG1,"BLK 1,2,6,7 HOUGANG AVE 3",1.3621655371189563,103.89417972319201,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG1A,BLK 470 UPPER SERANGOON CRESCENT,1.3786638473853399,103.90178514726799,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
HG1B,BLK 475 UPPER SERANGOON CRESCENT,1.3757208427288228,103.90068924136034,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
HG1C,BLK 476 UPP SERANGOON VIEW,1.3773896839264785,103.90367432817467,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
HG1D,BLK 376 HOUGANG ST 32,1.363743381472033,103.89411326609518,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.15,N
HG10,BLK 101-108 HOUGANG AVENUE 1,1.3545477132592327,103.89048363915803,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
HG11,BLK 301-319 HOUGANG AVENUE 5,1.3659590849526186,103.89498042855254,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG12,BLK 320-324 HOUGANG AVENUE 5,1.3666951274857706,103.89816102898007,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG13,BLK 325/326 HOUGANG AVENUE 7,1.3678351863527187,103.89856384493025,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG14,"BLK 327-328,332-334,358-363 HOUGANG AVENUE 5",1.3691978333065977,103.89642766021065,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.40,N
HG15,BLK 208-210 HOUGANG STREET 21,1.3589608383409377,103.886712167765,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
HG16,BLK 211-212 HOUGANG STREET 21,1.3597264508362596,103.88809151066717,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
HG17,BLK 231/233/235/237 HOUGANG STREET 21,1.3576754848491686,103.8879577327896,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG18,BLK 230/232/234/236/238 HOUGANG AVENUE 1,1.3580562825007534,103.88895037055659,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.40,N
HG19,BLK 138-145 LORONG AH SOO,1.3528453827429991,103.88380228416183,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
HG2,BLK 15-18 HOUGANG AVE 3,1.362916281624087,103.89202551228615,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG2A,BLK 473 UPP SERANGOON CRESCENT,1.376372318247321,103.90072077615486,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
HG2B,BLK 933 HOUGANG AVENUE 9,1.3755299072635618,103.8824558385079,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N
HG2C,BLK 364 / 365 UPP SERANGOON RD,1.3701078117066328,103.8972275612915,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N
HG2D,"BLK 581,582 AND 582A BUANGKOK GREEN",1.3794071424857648,103.88718176076172,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.00,N
HG20,BLK 128-137 LORONG AH SOO,1.3502835072364714,103.88642747853751,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
HG22,BLK 154-157 HOUGANG STREET 11,1.3524734570237964,103.88043241313854,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
HG23,BLK 239-246 HOUGANG STREET 22,1.3575125780004964,103.89154633409068,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N
HG24,BLK 247-254 HOUGANG AVENUE 3,1.3597981073399796,103.89169169862826,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.00,N
HG25,BLK 205 HOUGANG STREET 21,1.3598273389629718,103.88688985311087,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
HG26,BLK 335-341 HOUGANG AVENUE 7,1.3694965867905102,103.89885301179322,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG29,BLK 351-357 HOUGANG AVENUE 7,1.3723422711738515,103.89908052009055,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG3A,BLK 997 BUANGKOK CRESCENT,1.385422602428168,103.88078745980074,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N
HG3B,BLK 991 BUANGKOK LINK,1.3842997435333617,103.88162446141355,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.15,N
HG3C,BLK 996 BUANGKOK CRESCENT,1.3867765250799937,103.88200551694216,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,15,2.15,N
HG3D,BLK 998 BUANGKOK CRESCENT,1.384211116156454,103.87967359393373,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N
HG3E,BLK 993,1.3851206887907648,103.88365807896564,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N
HG30,BLK 464-468 HOUGANG AVENUE 10,1.3732591319490541,103.89696590280224,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.90,N
HG31,BLK 414-416 HOUGANG AVENUE 10,1.3754845441162968,103.89631784244257,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG32,BLK 601-608 HOUGANG AVENUE 4,1.371379058329614,103.88606016836823,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG33,BLK 609-621 HOUGANG AVENUE 8,1.3695677717165735,103.88437512420182,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG34,BLK 622-632 HOUGANG AVENUE 8,1.3699424715384168,103.88150314764623,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG35,"BLK 701-702,707-710 HOUGANG AVENUE 2",1.3664897225969852,103.88896369112094,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG36,"BLK 703-706,711-712 HOUGANG AVENUE 2",1.3661185477855278,103.88760385900312,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG37,BLKS 501-507 HOUGANG AVENUE 8,1.373008632916103,103.88737066764334,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG38,"BLK 508-517,520-533 HOUGANG AVENUE 10",1.3725208626529934,103.88969858893674,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG39,HOUGANG SPORTS COMPLEX,1.3699433998718409,103.88596778014374,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG4,BLK 19-23 HOUGANG AVE 3,1.3642304254367965,103.89098338156892,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG40,"BLK 1 TO 32, 37 TO 38 DEFU LANE 10",1.3521187630291847,103.89208429293144,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG41,BLK 633-642 & 647-648 HOUGANG AVENUE 8,1.3712761200039432,103.8793501497236,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG42,BLK 643-646/649-662/665-667 HOUGANG AVENUE 8,1.3741610365120829,103.88341793993871,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG43,BLK 668-680 HOUGANG AVENUE 8,1.3721131172452121,103.88430415056773,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG44,BLK 681-684 HOUGANG AVENUES 4/8,1.3736487904344832,103.88632970593206,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
HG45,BLK 685-691 HOUGANG STREET 61,1.3759038270817954,103.88612996620323,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG46,BLK 692-698 HOUGANG STREET 61,1.3758578477105796,103.88696296949902,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG47,BLK 805 HOUGANG CENTRAL,1.3711840890820357,103.89396218073213,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,1.90,N
HG48,BLK 417-434 HOUGANG AVE 6/8/10,1.3754251700704945,103.89409369476076,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG49,BLK 435-458 HOUGANG AVE 6/8,1.3787933434188147,103.89475931637922,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
HG5,BLK 24/25 HOUGANG AVE 3,1.3653553176828919,103.8923108470268,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
HG50,BLK 534-545 HOUGANG AVENUE 8,1.3773318360595193,103.89133366740688,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.00,N
HG51,BLK 546-555 HOUGANG STREET 51,1.3786510484174086,103.89011314127207,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
HG52,BLK 556-566 HOUGANG STREET 51,1.3802826296010677,103.8897556014777,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG53,BLK 830A HOUGANG CENTRAL,1.3708718261551998,103.89070311870604,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,10,1.87,N
HG54,BLK 220-222 HOUGANG STREET 21,1.3566443539408721,103.8843547430977,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.86,N
HG55,BLK 814 HOUGANG AVENUE 10,1.372683430169655,103.89321220378666,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
HG56,BLK 830-835 HOUGANG CENTRAL,1.37120325144932,103.89012226012069,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.50,N
HG57,DEFU LANE 7,1.3553370925034551,103.89694633924044,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
HG58,DEFU LANE 8,1.3571143858970327,103.89672135798848,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
HG59,DEFU LANE 9,1.3508831228027283,103.89331974944345,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
HG60,BLK 548A HOUGANG STREET 51,1.3790043779578538,103.89119380269584,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.00,N
HG61,BLK 559A HOUGANG STREET 51,1.3796540278489127,103.88915444541885,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,7,2.00,N
HG62,BLK 566A HOUGANG STREET 51,1.3808269962216202,103.88855958799294,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.00,N
HG63,BLK 465A UPPER SERANGOON ROAD,1.372357665071261,103.89736447686515,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.00,N
HG64,BLK 682-684 HOUGANG STREET 61,1.3743412526148515,103.88629764128508,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
HG65,DEFU LANE 11,1.3423065359348751,103.89282820193277,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
HG66,DEFU LANE 12,1.3405867501574693,103.89544009910689,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0.00,N
